,한국per,한국pbr,코스피per,코스피pbr,코스닥per,코스닥pbr,고객예탁금조,CMA잔고조,국내주식형펀드조,해외주식현펀드조,코스피신용조,코스닥신용조,코스피기관수급조,코스피외국인수급조,코스피개인수급조,코스닥기관수급조,코스닥외국인수급조,코스닥개인수급조,한국수정일드갭,미국수정일드갭,비트코인과거보정,S&P500지수,상해종합주가,니케이지수,월간수출액백만불,월간수입액백만불,월간선박수출액,월간핸드폰수출액,월간기계수출액,월간석유화학수출액,월간철강수출액,월간반도체수출액,월간자동차수출액,월간자동차부품수출액,월간석유제품수출액,월간화장품수출액,월간중국향수출액,월간중국향수입액,월간미국향수출액,월간미국향수입액,외환보유액,가계부채,정부부채,신규주택허가,신규주택착공,아파트미분양전국,미국경기선행지수,중국경기선행지수,유가WTI,천연가스,금,은,구리,옥수수,대두,필라델피아반도체지수,USD/CNY환율,USB/KRW환율,JPY/KRW환율,한국기준금리,미국기준금리,일본기준금리,중국기준금리,한국국채10년물,미국국채10년물,한국국채1년물,미국국채1년물,본원통화조,M1조,M2조,한국신용스프레드,미국신용스프레드
Jan-15,14.04,1.15,13.09,1.09,31,1.87,16.4,46.9,64.6,15.7,2.64,2.85,-0.67,-1.04,1.71,0.4,-0.08,-0.32,7.1,5.3,218.5,1995,3210,17674,45105,39283,4382,2297,3850,3262,2756,5263,3824,2262,2756,231,12084,8143,5562,3625,3622,1138,741,13.8,7.2,36985,100.8,100,48.2,2.7,1278.5,17.2,5505,370,961,653,6.25,1101.4,9.21,2,0.1,0,5.6,2.2,1.6,2,0.1,110,579,2096,0.3,2.81
Feb-15,14.38,1.17,13.34,1.11,33,1.98,16.7,47.6,64.8,15.8,2.72,3.09,0.053,1.33,-1.86,0.07,-0.04,-0.03,7,4.5,254.1,2104.5,3310,18798,41472,33998,5306,2090,3464,2901,2512,4760,3261,1963,2272,174,9928,6981,5021,2998,3624,1138,741,906,7.6,33813,100.7,100.1,49.8,2.7,1212.6,16.5,5880.5,384.4,1030.6,714.7,6.27,1100.53,9.21,2,0.1,0,5.6,2.4,2,2,0.2,117,602,2120,0.26,2.52
Mar-15,14.84,1.22,13.73,1.15,34.6,2.07,18.4,47.5,62.4,16.4,2.99,3.46,-2.84,2.86,-0.02,-0.25,-0.09,0.34,7.4,4.8,244.1,2067.9,3748,19207,46823,38486,3629,2331,4179,3328,2704,5389,4227,2372,3082,275,11868,7227,6795,4056,3628,1138,741,906,7.2,28897,100.6,100.2,47.6,2.6,1183.1,16.6,6050.5,376.2,973.2,695.5,6.2,1107.99,9.2,1.8,0,0,5.4,2.2,1.9,1.7,0.2,123,605,2128,0.27,2.59
Apr-15,15.51,1.27,14.31,1.2,36.8,2.18,21.2,49.5,60.1,16.8,3.52,3.94,-3.58,4.62,-1.04,-0.52,-0.31,0.83,7,4.7,235.8,2085.5,4442,19520,46222,37859,2831,2507,4457,3449,2827,5162,4294,2493,2569,263,11766,7648,6205,3842,3699,1138,741,14.7,13.2,28093,100.5,100.4,59.6,2.8,1182.4,16.1,6245,362.4,978..4,686.3,6.2,1076.34,8.97,1.8,0.1,0,5.4,2.4,2,1.8,0.2,123,612,2146,0.24,2.62
May-15,15.49,1.2,14.21,1.13,38.2,2.05,21,50.3,58.8,16.9,3.7,3.97,-1.94,1.66,0.28,0.19,0.25,-0.43,7.3,4.6,229.8,2107.4,4612,20563,42327,36040,2293,3021,3804,3063,2399,5111,3674,2168,2808,212,10927,6993,5624,3529,2715,1138,741,15.8,13.8,28142,100.4,100.5,60.3,2.6,1189.4,16.7,6088.5,351.4,934,745.4,6.2,1112.01,8.95,1.8,0.1,0,5.1,2.3,2.1,1.7,0.3,117,628,2176,0.26,2.69
Jun-15,15.35,1.19,13.94,1.1,40.4,2.26,21.7,49.2,59.2,17.3,3.7,3.91,-0.39,-1.05,1.44,0.81,-0.03,-0.78,7.1,4.6,264.1,2063.1,4277,20236,46555,36598,3951,2424,4022,3433,2941,5306,4266,2254,3134,232,11349,7399,6504,3824,3747,1138,741,14.7,13.1,34068,100.3,100.5,59.5,2.8,1171.5,15.6,5721,414,1056.2,680.5,6.2,1119.03,9.17,1.5,0.1,0,4.9,2.5,2.3,1.6,0.3,126,648,2192,0.21,2.88
Jul-15,15.6,1.16,13.69,1.08,39.6,2.24,20.8,48.3,60.3,17.4,3.79,4.01,-0.9,-1.8,2.7,0.25,-0.14,-0.11,7,4.5,283.7,2103.8,3664,20585,45695,38647,3456,2115,4111,3472,2662,5137,3931,2439,3043,237,11180,7626,6185,4098,3708,1138,741,16,15.7,33177,100.1,100.4,47.1,2.7,1094.9,14.7,5220,371,980.6,646.3,6.21,1165.67,9.39,1.5,0.1,0,4.9,2.4,2.2,1.6,0.3,115,644,2197,0.24,2.93
Aug-15,14.4,1.12,13.08,1.04,38,2.13,20.9,49.8,62.2,17.6,3.17,3.26,3,-4.11,1.1,0.15,-0.18,0.03,7.6,4.7,229.5,1972.2,3206,18890,39107,34772,1712,2586,3228,3027,2221,5452,2672,1821,2753,202,10884,7159,5059,3826,3679,1138,741,23,12.2,31698,100,100.3,49.2,2.7,1131.6,14.6,5095,363.6,897.4,611,6.38,1181.82,9.7,1.5,0.1,0,4.6,2.3,2.2,1.6,0.4,127,655,2218,0.26,3.05
Sep-15,14.59,1.14,13.28,1.06,37.8,2.11,22,50.2,63,17.7,3.2,3.44,1.95,-1.77,-0.19,-0.56,-0.17,0.73,7.6,5,235.9,1920,3053,17388,43432,34541,2599,3336,3556,3070,2356,5885,3151,2203,2707,238,12045,7585,5464,3278,3681,1138,741,16.7,13.2,32524,99.8,100.2,45.1,2.5,1115.5,14.5,5093,387.6,892,602.7,6.36,1184.44,9.97,1.5,0.1,0,4.6,2.1,2,1.5,0.3,131,680,2221,0.33,3.22
Oct-15,15.18,1.18,13.38,1.1,38.4,2.13,21.1,46.8,63.3,17.9,3.25,3.56,1.02,0.11,-1.13,-0.49,-0.09,0.58,7,4.3,311.2,2079.4,3383,19083,43352,36763,1718,3976,3705,2955,2208,5499,3783,2385,2324,277,12493,8388,6011,3998,3696,1138,741,17.8,11,32221,99.6,100,46.6,2.3,1141.5,15.6,5135.5,382.2,883.6,662.5,6.32,1140.16,9.44,1.5,0.1,0,4.4,2.1,2.1,1.6,0.3,127,678,2240,0.35,3.04
Nov-15,15.01,1.16,13.63,1.08,39.6,2.17,20.8,51,62.5,17.8,3.21,3.56,0.51,-1.95,1.43,-0.31,0.24,0.07,7,4,378,2080.4,3445,19747,44285,34050,5636,3343,3239,2732,2233,5190,3890,2151,2351,300,11611,7856,5520,3358,3685,1138,741,17.2,18.1,49724,99.5,100,41.7,2.2,1065.8,14.1,4595.5,365,881,677,6.4,1159.61,9.37,1.5,0.1,0,4.4,2.3,2.2,1.7,0.5,126,681,2239,0.38,2.95
