Unnamed: 0,한국per,한국pbr,코스피per,코스피pbr,코스닥per,코스닥pbr,고객예탁금조,CMA잔고조,국내주식형펀드조,해외주식현펀드조,코스피신용조,코스닥신용조,코스피기관수급조,코스피외국인수급조,코스피개인수급조,코스닥기관수급조,코스닥외국인수급조,코스닥개인수급조,한국수정일드갭,미국수정일드갭,비트코인과거보정,S&P500지수,상해종합주가,니케이지수,월간수출액백만불,월간수입액백만불,월간선박수출액,월간핸드폰수출액,월간기계수출액,월간석유화학수출액,월간철강수출액,월간반도체수출액,월간자동차수출액,월간자동차부품수출액,월간석유제품수출액,월간화장품수출액,월간중국향수출액,월간중국향수입액,월간미국향수출액,월간미국향수입액,외환보유액,가계부채,정부부채,신규주택허가,신규주택착공,아파트미분양전국,미국경기선행지수,중국경기선행지수,유가WTI,천연가스,금,은,구리,옥수수,대두,필라델피아반도체지수,USD/CNY환율,USB/KRW환율,JPY/KRW환율,한국기준금리,미국기준금리,일본기준금리,중국기준금리,한국국채10년물,미국국채10년물,한국국채1년물,미국국채1년물,본원통화조,M1조,M2조,한국신용스프레드,미국신용스프레드
Mar-15,14.84,1.22,13.73,1.15,34.6,2.07,18.4,47.5,62.4,16.4,2.99,3.46,-2.84,2.86,-0.02,-0.25,-0.09,0.34,7.4,4.8,244.1,2067.9,3748.0,19207.0,133400,111767,13317,6718,11493,9491,7972,15412,11312,6597,8110,680,33880,22351,17378,10679,3628,1138,741,1825.8,22.0,28897,100.6,100.2,47.6,2.6,1183.1,16.6,6050.5,376.2,973.2,695.5,6.2,1107.99,9.2,1.8,0.0,0.0,5.4,2.2,1.9,1.7,0.2,123,605,2128,0.27,2.59
Jun-15,15.35,1.19,13.94,1.1,40.4,2.26,21.7,49.2,59.2,17.3,3.7,3.91,-0.39,-1.05,1.44,0.81,-0.03,-0.78,7.1,4.6,264.1,2063.1,4277.0,20236.0,135104,110497,9075,7952,12283,9945,8167,15579,12234,6915,8511,707,34042,22040,18333,11195,3747,1138,741,45.2,40.1,34068,100.3,100.5,59.5,2.8,1171.5,15.6,5721.0,414.0,1056.2,680.5,6.2,1119.03,9.17,1.5,0.1,0.0,4.9,2.5,2.3,1.6,0.3,126,648,2192,0.21,2.88
Sep-15,14.59,1.14,13.28,1.06,37.8,2.11,22.0,50.2,63.0,17.7,3.2,3.44,1.95,-1.77,-0.19,-0.56,-0.17,0.73,7.6,5.0,235.9,1920.0,3053.0,17388.0,128234,107960,7767,8037,10895,9569,7239,16474,9754,6463,8503,677,34109,22370,16708,11202,3681,1138,741,55.7,41.099999999999994,32524,99.8,100.2,45.1,2.5,1115.5,14.5,5093.0,387.6,892,602.7,6.36,1184.44,9.97,1.5,0.1,0.0,4.6,2.1,2.0,1.5,0.3,131,680,2221,0.33,3.22
Dec-15,14.85,1.14,13.44,1.06,40.0,2.17,20.9,52.3,63.5,17.8,3.04,3.49,2.84,-3.3,0.45,0.02,0.29,-0.31,7.2,4.0,430.0,2043.9,3539.0,19034.0,130017,106275,9947,9880,10862,8786,6823,15480,11937,6832,6878,867,35094,23488,17413,10948,3680,1138,741,51.1,45.1,61512,99.3,99.9,37,2.3,1060.3,13.8,4702.0,358.6,871.2,663.5,6.49,1174.95,9.72,1.5,0.4,0.0,4.4,2.1,2.3,1.6,0.6,131,708,2247,0.45,3.11
Mar-16,13.88,1.17,12.52,1.08,39.42,2.21,21.4,49.6,63.6,18.4,3.13,3.71,-2.93,3.42,-0.49,-0.55,0.29,0.26,7.2,4.9,415.7,2059.7,3004.0,16759.0,115586,93717,7948,7259,10658,8280,7126,13967,9823,6148,5219,857,28544,20224,16809,10180,3698,1270,753,43.0,27.200000000000003,53845,99.1,99.7,38.3,2.0,1234.2,15.5,4855.5,351.4,910.6,676.9,6.45,1143.97,10.26,1.5,0.4,0.0,4.4,1.8,1.8,1.5,0.6,135,723,2296,0.49,3.01
Jun-16,13.78,1.08,12.38,1.0,39.81,2.07,23.9,51.7,60.3,18.1,3.11,3.68,0.25,0.79,-1.04,-0.42,0.0,0.42,8.3,5.0,670.0,2098.9,2930.0,15576.0,126010,98943,10577,7479,11270,9024,7418,14720,10554,6484,6880,1061,29725,21375,17546,11027,3699,1270,753,48.0,40.5,59999,99.1,99.7,48.3,2.9,1318.4,18.6,4827.0,358.6,1175,691.7,6.65,1150.99,11.32,1.3,0.5,0.0,4.4,1.5,1.5,1.3,0.4,138,744,2338,0.44,2.74
Sep-16,14.29,1.08,12.9,1.0,40.78,2.04,21.9,51.6,55.9,17.4,3.37,4.34,-1.98,1.08,0.9,-0.41,0.39,0.02,8.7,4.5,608.1,2168.3,3005.0,16450.0,121963,102356,7458,6785,10715,9254,6940,16293,8009,6346,7138,1117,31391,21615,15242,10511,3778,1270,753,49.0,37.2,60700,99.2,99.9,48.2,2.9,1313.3,19.1,4832.0,336.6,954,835.6,6.67,1100.91,10.84,1.3,0.5,-0.1,4.4,1.4,1.6,1.3,0.6,144,749,2380,0.42,2.43
Dec-16,15.95,1.07,14.46,1.0,44.67,1.88,22.3,50.5,55.9,17.8,2.93,3.85,0.35,1.01,-1.36,-0.06,0.33,-0.27,8.6,3.5,963.4,2238.8,3102.0,19145.0,132348,110298,8286,8142,11513,9607,7051,17248,11770,6588,7236,1159,34774,23767,16866,11498,3711,1270,753,41.8,38.5,56413,99.5,100.3,53.7,3.7,1150.0,15.9,5501.0,352.0,996.4,906.5,6.94,1206.25,10.32,1.3,0.5,-0.1,4.4,2.1,2.4,1.6,0.8,143,796,2407,0.49,2.34
Mar-17,16.14,1.13,14.84,1.07,39.8,1.85,22.1,52.8,51.9,17.3,3.29,3.96,-3.66,3.53,0.13,-0.45,0.06,0.39,8.7,3.6,1079.1,2362.7,3210.0,19063.0,132413,115802,6976,5670,11754,11426,7870,20206,10253,6194,8695,1151,33529,23388,16453,12135,3753,1370,764,40.8,29.0,61679,99.9,100.7,50.6,3.2,1247.3,18.2,5849.0,364.2,946,1011.4,6.88,1116.65,10.03,1.3,0.8,-0.1,4.4,2.2,2.4,1.5,1.0,153,794,2438,0.52,2.23
Jun-17,15.5,1.21,14.34,1.15,36.67,1.96,24.5,52.1,51.7,17.3,4.16,4.39,-3.31,1.67,1.64,-0.36,0.2,0.17,8.0,3.4,2480.6,2423.4,3192.0,20033.0,147400,116800,16937,5331,12428,10630,8997,22673,11228,5711,7696,1123,31918,24357,17541,13899,3806,1370,764,42.4,32.1,57108,99.9,100.9,46,3.0,1240.7,16.6,5907.5,370.4,942.2,1034.9,6.78,1144.43,10.18,1.3,1.3,-1.0,4.4,2.2,2.3,1.5,1.2,150,816,2464,0.54,2.02
Sep-17,13.82,1.15,12.89,1.1,28.38,1.79,24.4,54.1,54.0,17.5,4.02,4.29,1.36,-1.61,0.25,-0.42,0.49,-0.07,8.5,3.0,4360.6,2519.4,3349.0,20356.0,151020,120100,11641,5295,11987,11503,9901,26337,10300,5898,9256,1301,36244,24329,18212,12705,3847,1370,764,43.199999999999996,33.3,54420,100.1,100.9,51.7,3.0,1281.5,16.6,6530.0,355.2,968.2,1171.7,6.65,1144.29,10.2,1.3,1.3,-1.0,4.4,2.4,2.3,1.5,1.3,162,837,2510,0.54,1.88
Dec-17,13.45,1.2,12.13,1.11,34.2,2.27,26.9,34.1,58.9,18.8,4.49,5.38,4.83,-1.75,3.08,1.2,0.41,-1.6,7.3,2.3,13850.4,2673.6,3296.0,22784.0,143067,125398,6629,5803,12440,11129,7445,28720,9910,5330,9389,1383,40429,25785,16405,12010,3893,1370,764,44.9,33.5,57330,100.4,100.6,60.4,3.0,1306.3,17.1,7190.0,350.6,951.6,1253.1,6.51,1066.37,9.49,1.5,1.3,-0.1,4.4,2.5,2.4,1.9,1.7,156,850,2530,0.54,1.62
Mar-18,12.42,1.22,10.89,1.1,41.07,2.52,27.0,53.1,61.4,19.9,5.41,5.93,0.16,-0.75,0.59,0.5,0.26,-0.76,7.6,2.6,6938.2,2640.9,3169.0,21454.0,145670,131780,6900,4361,12832,12355,8125,29489,9793,5454,10021,1451,38481,25168,15922,14666,3968,1447,809,42.3,27.0,58004,100.8,100.0,64.9,2.7,1322.8,16.2,6719.0,387.6,1044.6,1328.9,6.27,1060.25,10.01,1.5,1.5,-0.1,4.4,2.6,2.7,1.9,2.1,164,852,2584,0.58,1.71
Jun-18,11.7,1.12,10.4,1.04,43.22,2.08,27.5,51.9,61.2,19.6,6.0,5.82,0.19,-1.58,1.38,-0.01,0.3,-0.29,8.4,2.2,6398.9,2718.4,2787.0,22305.0,152060,132650,3914,4368,13433,12604,8662,31777,10486,6131,11981,1732,40701,26713,18517,14367,4003,1447,809,41.8,38.3,62050,100.9,99.4,74.2,2.9,1251.3,16.1,6644.0,350.2,858.4,1313.7,6.62,1113.91,10.15,1.5,1.8,-0.1,4.4,2.6,2.9,1.8,2.3,167,862,2632,0.67,1.79
Sep-18,12.09,1.12,10.64,1.03,50.19,2.18,27.0,50.0,62.0,20.8,5.93,5.86,0.64,-0.31,-0.33,-0.15,0.14,0.01,8.4,1.5,6635.2,2914.0,2821.0,24120.0,153660,130020,3692,4402,13191,12766,9283,34323,8954,5645,12425,1515,42714,25285,18021,14084,4030,1447,809,42.3,29.200000000000003,60596,100.6,98.9,73.3,3.0,1191.5,14.6,6178.0,356.2,845.4,1366.7,6.87,1109.98,9.81,1.5,2.0,-0.1,4.4,2.4,3.1,1.8,2.6,178,853,2662,0.45,1.54
Dec-18,10.26,0.94,9.02,0.87,48.3,1.71,24.9,48.3,64.3,20.8,4.85,4.56,1.18,-0.06,-1.12,0.16,0.2,-0.37,9.2,3.0,3709.4,2506.9,2494.0,20015.0,155350,139110,6770,3959,14101,12260,7902,31117,11654,5888,11922,1576,40230,29323,20261,15751,4037,1447,809,37.1,29.5,58838,100.1,98.5,45.4,2.9,1278.3,15.4,5980.0,375.0,882.4,1155.2,6.88,1113.3,10.11,1.8,2.3,-0.1,4.4,2.0,2.7,1.7,2.6,172,866,2700,0.49,2.23
Mar-19,11.88,0.98,10.59,0.92,35.42,1.57,25.6,49.6,64.9,20.5,4.86,5.53,-0.99,0.3,0.69,-0.25,0.0,0.25,7.2,2.9,4102.3,2834.4,3091.0,21206.0,133020,123380,5200,3174,12886,11087,7977,23185,10252,5615,9596,1506,31811,25727,17970,14684,4053,1505,883,36.0,24.5,62147,99.5,98.3,60.1,2.7,1293.0,15.1,6476.0,356.4,884.2,1395.5,6.71,1136.1,10.28,1.8,2.5,-0.1,4.4,1.8,2.4,1.7,2.4,180,879,2763,0.46,1.84
Jun-19,13.29,0.97,11.71,0.9,60.77,1.75,25.1,49.3,61.7,199.0,4.8,5.67,1.51,0.71,-2.22,-0.16,-0.38,0.54,6.8,3.4,10818.6,2941.8,2979.0,21267.0,138950,128390,5841,3450,13490,10602,7955,24277,11424,5691,10422,1625,33877,28393,21907,15771,4031,1505,883,37.0,32.8,63705,99.0,98.4,58.5,2.3,1409.7,15.3,598.0,420.2,899.6,1459.0,6.87,1155.38,10.73,1.8,2.5,-0.1,4.4,1.6,2.0,1.6,1.9,183,892,2814,0.47,1.85
